Country,Population,Net_Change,Density,Land_Area,Med_Age,Urban_Pop
China,1440297825,5540090,153,9388211,38,0.61
India,1382345085,13586631,464,2973190,28,0.35
United States,331341050,1937734,36,9147420,38,0.83
Indonesia,274021604,2898047,151,1811570,30,0.56
Pakistan,221612785,4327022,287,770880,23,0.35
Brazil,212821986,1509890,25,8358140,33,0.88
Nigeria,206984347,5175990,226,910770,18,0.52
Bangladesh,164972348,1643222,1265,130170,28,0.39
Russia,145945524,62206,9,16376870,40,0.74
Mexico,129166028,1357224,66,1943950,29,0.84
Japan,126407422,-383840,347,364555,48,0.92
Ethiopia,115434444,2884858,115,1000000,19,0.21
Philippines,109830324,1464463,368,298170,26,0.47
Egypt,102659126,1946331,103,995450,25,0.43
Vietnam,97490013,876473,314,310070,32,0.38
DR Congo,90003954,2770836,40,2267050,17,0.46
Turkey,84495243,909452,110,769630,32,0.76
Iran,84176929,1079043,52,1628550,32,0.76
Germany,83830972,266897,240,348560,46,0.76
Thailand,69830779,174396,137,510890,40,0.51
United Kingdom,67948282,355839,281,241930,40,0.83
France,65298930,143783,119,547557,42,0.82
Italy,60446035,-88249,206,294140,47,0.69
Tanzania,60012400,1728755,67,885800,18,0.37
South Africa,59436725,750420,49,1213090,28,0.67
Myanmar,54473253,364380,83,653290,29,0.31
Kenya,53968739,1197323,94,569140,20,0.28
South Korea,51276977,43877,527,97230,44,0.82
Colombia,50976248,543448,46,1109500,31,0.80
Spain,46757980,18002,94,498800,45,0.80
Uganda,45974931,1471413,229,199810,17,0.26
Argentina,45267449,415097,17,2736690,32,0.93
Algeria,43984569,797990,18,2381740,29,0.73
Sudan,44019263,1036022,25,1765048,20,0.35
Ukraine,43686577,-259876,75,579320,41,0.69
Iraq,40372771,912710,93,434320,21,0.73
Afghanistan,39074280,886592,60,652860,18,0.25
Poland,37839255,-41157,124,306230,42,0.60
Canada,37799407,331107,4,9093510,41,0.81
Morocco,36985624,438791,83,446300,30,0.64
Saudi Arabia,34905942,545343,16,2149690,32,0.84
